연도 ,지역,업종명,규모,사업장명(현장명),소재지,중대재해재해자수(명),근로자수(명),재해자수(명),재해율(퍼센트),규모별 동종업종 평균 재해율(퍼센트)
2020,부산,건설업,50인미만,"대양건설㈜, (주)반도종합건설, 동양종합건설(주)(원청), (주)네오그린(하청)(대저2 재해위험개선지구 정비사업)",부산 강서구 대저2동 2082-7번지 일원,1,6,1,16.67,1.82
2020,경기,기계기구·금속·비금속광물제품제조업,50인미만,(주)동방팬테크,"경기 시흥시 마유로82번길70 (정왕동, 3마601호)",1,6,1,16.67,1.12
2020,경기,건설업,50인미만,"건양종합건설주식회사(원청), 주식회사 성산전기(하청)(서신면 장외리 655-8 SJ파우더 공장 증축공사)",경기 화성시 서신면 전곡산단6길 28 에스제이파우더,1,6,1,16.67,1.82
2020,경기,건설업,50인미만,다성종합건설(주)(양교사거리~어연리간 도로확포장공사),경기 평택시 청북읍,1,6,1,16.67,1.82
2020,충북,건설업,50인미만,리앤(박노민 다가구 신축공사(금왕읍 무극리 589-19)),충북 음성군 금왕읍 탑골4길 15-18 ,1,6,1,16.67,1.82
2020,충북,건설업,50인미만,"주식회사조은강산(원청), 주식회사제일함석(하청)(한일현대시멘트(주)단양공장 먼지날림방지시설 설치사업)",충북 단양군 매포읍 고양길 95 ,1,6,1,16.67,1.82
2020,전북,건설업,50인미만,(주)화임(문예체육회관 개보수 건축(기계)공사),전북 진안군 진안읍 진무로 1054-38 문예체육회관,1,6,1,16.67,1.82
2020,경북,석회석·금속·비금속광업 및 기타광업,50인미만,주식회사이십일스토어,경북 상주시 외서면 삼령로 217-76 ,1,6,1,16.67,3.14
2020,경북,건설업,50인미만,"(주)대길건설(우현풍림아이원 지진 균열보수 및 도장공사, 지하주차장 바닥)","경북 포항시 북구 우창동로 71 (우현동, 우현풍림아이원)",1,6,1,16.67,1.82
2020,경북,건설업,50인미만,다음환경㈜(압량길82 철거공사),경북 경산시 압량읍 압량길 82 (압량리 118),1,6,1,16.67,1.82
2020,경남,임업,50인미만,(주)광덕,경남 고성군 고성읍 성내로78번길 30 1층 (지하),1,6,1,16.67,1.14
2020,전남,건설업,50인미만,"한국기술개발(주)(원청), 도원건설㈜(하청)(월성 자연재해위험개선지구 정비사업(총괄 및 3차분))",전남 해남군 북일면 월성길 32-6 신월리 235-2,1,13,2,15.38,1.82
2020,전남,시설관리 및 사업지원서비스업,50인미만,대한조선주식회사,전남 해남군 화원면 조선소길 498 (해남대한조선소건설현장),1,13,2,15.38,0.58
2020,경기,건설업,50인미만,"한경종합건설주식회사, 우경건설㈜(원청), 대산산업㈜(하청)(장애인복지관 건립 건축공사)",경기 이천시 신둔면 138-13,1,20,3,15,1.82
2019,인천,전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업,50인미만,(주)한영정공,인천 남동구 남동서로 83번길 87 ,2,21,3,14.29,0.41
2020,서울,건설업,50인미만,"창성건설주식회사(원청), ㈜성산알앤씨(하청)(원당초 강당 겸 체육관 증축공사)",서울 관악구 봉천로 505 (봉천동),1,21,3,14.29,1.82
2019,경기,"기계기구, 비금속광물 및 금속제품제조업",50인미만,디에이치(주) 미주오토텍㈜(구)(원청) 상남산업(하청),경기 평택시 포승읍 평택항로 268번길 55 (미주오토텍(주)),1,14,2,14.29,1.39
2020,경기,도소매·음식·숙박업,50인미만,태평철강㈜,경기 시흥시 오이도로 21 스틸랜드A 924 (정왕동),1,14,2,14.29,0.62
2018,서울,건설업,50인 미만,한솔종합건설㈜(이문동82-12외1필지공동주택신축공사),서울 동대문구 휘경로 29-12 (이문동),1,7,1,14.29,1.8
2019,부산,"건물종합관리, 위생 및 유사서비스업",50인미만,거창기업,부산 남구 문현동 1219-1번지,1,7,1,14.29,0.78
